Time,Coastal GDP (global) ssp126,Coastal GDP (Global) ssp126,Coastal Capital (global) ssp126,Coastal Capital (Global) ssp126,Coastal pop (global) ssp126,Coastal pop (Global) ssp126,Coastal GDP (global) ssp245,Coastal GDP (Global) ssp245,Coastal Capital (global) ssp245,Coastal Capital (Global) ssp245,Coastal pop (global) ssp245,Coastal pop (Global) ssp245,Coastal GDP (global) ssp370,Coastal GDP (Global) ssp370,Coastal Capital (global) ssp370,Coastal Capital (Global) ssp370,Coastal pop (global) ssp370,Coastal pop (Global) ssp370,Coastal GDP (global) ssp460,Coastal GDP (Global) ssp460,Coastal Capital (global) ssp460,Coastal Capital (Global) ssp460,Coastal pop (global) ssp460,Coastal pop (Global) ssp460,Coastal GDP (global) ssp585,Coastal GDP (Global) ssp585,Coastal Capital (global) ssp585,Coastal Capital (Global) ssp585,Coastal pop (global) ssp585,Coastal pop (Global) ssp585
2101.0,107977.85588529272,107977.85588529272,545739.9504088913,545739.9504088913,952.193337063642,952.193337063642,104109.12175211447,104109.12175211447,479124.7711737059,479124.7711737059,1208.6246087642949,1208.6246087642949,55390.29184006883,55390.29184006883,260990.1982363246,260990.1982363246,1620.231100355815,1620.231100355815,73060.06533722002,73060.06533722002,345781.316785732,345781.316785732,1104.8853813847363,1104.8853813847363,198705.69871344283,198705.69871344283,913005.0491085893,913005.0491085893,1046.5085105599803,1046.5085105599803
2102.0,108444.2751137985,108444.2751137985,547221.1773989903,547221.1773989903,943.666913414088,943.666913414088,105250.4138011835,105250.4138011835,483394.2245050147,483394.2245050147,1204.1265665714357,1204.1265665714357,55778.02731720339,55778.02731720339,261735.2883839885,261735.2883839885,1624.0843873927784,1624.0843873927784,73347.42465790219,73347.42465790219,345973.5206616758,345973.5206616758,1100.0236829698447,1100.0236829698447,201136.8901094841,201136.8901094841,922012.0991060643,922012.0991060643,1039.5112377312494,1039.5112377312494
2103.0,108892.6341381052,108892.6341381052,548687.2898279666,548687.2898279666,935.3181235905636,935.3181235905636,106374.15028750153,106374.15028750153,487620.1119860042,487620.1119860042,1199.7222335909285,1199.7222335909285,56162.97438616979,56162.97438616979,262472.7755709626,262472.7755709626,1627.8573976164703,1627.8573976164703,73622.51925117958,73622.51925117958,346163.7632735803,346163.7632735803,1095.2632699385983,1095.2632699385983,203510.99409204282,203510.99409204282,930927.2404300937,930927.2404300937,1032.6597414197854,1032.6597414197854
2104.0,109324.03758675556,109324.03758675556,550138.2876958199,550138.2876958199,927.1469675930749,927.1469675930749,107480.81311148299,107480.81311148299,491802.4336166749,491802.4336166749,1195.4116098227737,1195.4116098227737,56545.07634824929,56545.07634824929,263202.65979724505,263202.65979724505,1631.5501310268967,1631.5501310268967,73886.10878638823,73886.10878638823,346352.04462144425,346352.04462144425,1090.6041422909884,1090.6041422909884,205830.1559584626,205830.1559584626,939750.4730806827,939750.4730806827,1025.9540216255868,1025.9540216255868
2105.0,109739.5747462304,109739.5747462304,551574.1710025477,551574.1710025477,919.153445421621,919.153445421621,108570.87748048305,108570.87748048305,495941.1893970254,495941.1893970254,1191.1946952669643,1191.1946952669643,56924.27729220587,56924.27729220587,263924.9410628376,263924.9410628376,1635.162587624045,1635.162587624045,74138.94238190014,74138.94238190014,346538.36470526725,346538.36470526725,1086.0463000270336,1086.0463000270336,208096.49121028953,208096.49121028953,948481.79705783,948481.79705783,1019.3940783486494,1019.3940783486494
2106.0,110140.31956094786,110140.31956094786,552994.9397481547,552994.9397481547,911.3375570761925,911.3375570761925,109644.81190879266,109644.81190879266,500036.3793270557,500036.3793270557,1187.0714899235143,1187.0714899235143,57300.522094285305,57300.522094285305,264639.6193677393,264639.6193677393,1638.6947674079292,1638.6947674079292,74381.75860512536,74381.75860512536,346722.72352505114,346722.72352505114,1081.5897431467122,1081.5897431467122,210312.08555327615,210312.08555327615,957121.2123615318,957121.2123615318,1012.9799115889814,1012.9799115889814
2107.0,110527.33063326155,110527.33063326155,554400.5939326353,554400.5939326353,903.6993025568019,903.6993025568019,110703.07821764343,110703.07821764343,504088.0034067677,504088.0034067677,1183.041993792407,1183.041993792407,57673.75641821588,57673.75641821588,265346.6947119504,265346.6947119504,1642.1466703785447,1642.1466703785447,74615.28547251092,74615.28547251092,346905.1210807946,346905.1210807946,1077.234471650038,1077.234471650038,212478.99489737643,212478.99489737643,965668.7189917889,965668.7189917889,1006.7115213465788,1006.7115213465788
2108.0,110901.65122346372,110901.65122346372,555791.1335559931,555791.1335559931,896.2386818634394,896.2386818634394,111746.13153520483,111746.13153520483,508096.06163616147,508096.06163616147,1179.1062068736567,1179.1062068736567,58043.926715207665,58043.926715207665,266046.16709547216,266046.16709547216,1645.518296535883,1645.518296535883,74840.24044953978,74840.24044953978,347085.557372497,347085.557372497,1072.980485537009,1072.980485537009,214599.24535674712,214599.24535674712,974124.3169486001,974124.3169486001,1000.5889076214382,1000.5889076214382
2109.0,111264.30924978163,111264.30924978163,557166.5586182297,557166.5586182297,888.9556949961155,888.9556949961155,112774.42029658581,112774.42029658581,512060.5540152329,512060.5540152329,1175.264129167255,1175.264129167255,58410.9802239536,58410.9802239536,266738.0365183026,266738.0365183026,1648.8096458799603,1648.8096458799603,75057.33045073312,75057.33045073312,347264.0324001605,347264.0324001605,1068.8277848076193,1068.8277848076193,216674.83324975052,216674.83324975052,982488.0062319703,982488.0062319703,994.6120704135643,994.6120704135643
2110.0,111616.31728838077,111616.31728838077,558526.8691193415,558526.8691193415,881.8503419548181,881.8503419548181,113788.38624383305,113788.38624383305,515981.48054398707,515981.48054398707,1171.5157606732073,1171.5157606732073,58774.86497062782,58774.86497062782,267422.30298044253,267422.30298044253,1652.0207184107626,1652.0207184107626,75267.25183964844,75267.25183964844,347440.54616378254,347440.54616378254,1064.7763694618775,1064.7763694618775,218707.72509895125,218707.72509895125,990759.7868419006,990759.7868419006,988.78100972296,988.78100972296
2111.0,111958.67257336329,111958.67257336329,559872.065059329,559872.065059329,874.9226227395555,874.9226227395555,114788.46442593237,114788.46442593237,519858.841222421,519858.841222421,1167.8611013915083,1167.8611013915083,59135.5297688876,59135.5297688876,268098.96648189286,268098.96648189286,1655.151514128295,1655.151514128295,75470.69042888042,75470.69042888042,347615.0986633655,347615.0986633655,1060.8262394997764,1060.8262394997764,220699.85763111885,220699.85763111885,998939.6587783792,998939.6587783792,983.0957255496162,983.0957255496162
2112.0,112292.35699676756,112292.35699676756,561202.1464381936,561202.1464381936,868.1725373503252,868.1725373503252,115775.08319880844,115775.08319880844,523692.63605053385,523692.63605053385,1164.3001513221595,1164.3001513221595,59492.92421987207,59492.92421987207,268768.02702265093,268768.02702265093,1658.2020330325593,1658.2020330325593,75668.32148006077,75668.32148006077,347787.6898989072,347787.6898989072,1056.9773949213202,1056.9773949213202,222653.13777722404,222653.13777722404,1007027.6220414216,1007027.6220414216,977.5562178935376,977.5562178935376
2113.0,112618.33710857024,112618.33710857024,562517.113255935,562517.113255935,861.6000857871269,861.6000857871269,116748.66422532397,116748.66422532397,527482.8650283301,527482.8650283301,1160.8329104651657,1160.8329104651657,59846.99871220245,59846.99871220245,269429.4846027209,269429.4846027209,1661.1722751235507,1661.1722751235507,75860.80970385818,75860.80970385818,347958.3198704093,347958.3198704093,1053.2298357265074,1053.2298357265074,224569.4426724436,224569.4426724436,1015023.6766310143,1015023.6766310143,972.1624867547253,972.1624867547253
2114.0,112937.56411668276,112937.56411668276,563816.9655125536,563816.9655125536,855.2052680499612,855.2052680499612,117709.62247528146,117709.62247528146,531229.5281558054,531229.5281558054,1157.4593788205218,1157.4593788205218,60197.70442198225,60197.70442198225,270083.3392220987,270083.3392220987,1664.0622404012731,1664.0622404012731,76048.80925997843,76048.80925997843,348126.98857787,348126.98857787,1049.583561915339,1049.583561915339,226450.61965615538,226450.61965615538,1022927.8225471708,1022927.8225471708,966.914532133179,966.914532133179
2115.0,113250.97388695557,113250.97388695557,565101.7032080481,565101.7032080481,848.9880841388301,848.9880841388301,118658.36622542048,118658.36622542048,534932.6254329601,534932.6254329601,1154.1795563882267,1154.1795563882267,60544.9933127972,60544.9933127972,270729.5908807868,270729.5908807868,1666.8719288657267,1666.8719288657267,76232.96375716403,76232.96375716403,348293.6960212917,348293.6960212917,1046.038573487812,1046.038573487812,228298.48627194416,228298.48627194416,1030740.0597898759,1030740.0597898759,961.812354028893,961.812354028893
2116.0,113559.48694317504,113559.48694317504,566371.3263424168,566371.3263424168,842.948534053725,842.948534053725,119595.29705942127,119595.29705942127,538592.1568597979,538592.1568597979,1150.9934431682852,1150.9934431682852,60888.818135715264,60888.818135715264,271368.23957878444,271368.23957878444,1669.6013405169049,1669.6013405169049,76413.90625319486,76413.90625319486,348458.44220067194,348458.44220067194,1042.5948704439322,1042.5948704439322,230114.8302675947,230114.8302675947,1038460.3883591398,1038460.3883591398,956.8559524418771,956.8559524418771
2117.0,113864.00846706443,113864.00846706443,567625.8349156658,567625.8349156658,837.0866177946584,837.0866177946584,120520.80986790045,120520.80986790045,542208.1224363131,542208.1224363131,1147.901039160693,1147.901039160693,61229.13242928643,61229.13242928643,271999.2853160905,271999.2853160905,1672.250475354822,1672.250475354822,76592.2592548878,76592.2592548878,348621.2271160131,348621.2271160131,1039.2524527836918,1039.2524527836918,231901.40959509677,231901.40959509677,1046088.8082549642,1046088.8082549642,952.0453273721276,952.0453273721276
2118.0,114165.42829828385,114165.42829828385,568865.228927791,568865.228927791,831.4023353616229,831.4023353616229,121435.29284841618,121435.29284841618,545780.5221625101,545780.5221625101,1144.902344365458,1144.902344365458,61565.8905195433,61565.8905195433,272622.72809270764,272622.72809270764,1674.8193333794613,1674.8193333794613,76768.63471809617,76768.63471809617,348782.0507673136,348782.0507673136,1036.0113205070961,1036.0113205070961,233659.95241064637,233659.95241064637,1053625.3194773432,1053625.3194773432,947.3804788196395,947.3804788196395
2119.0,114464.6209344298,114464.6209344298,570089.5083787901,570089.5083787901,825.895686754619,825.895686754619,122339.12750546203,122339.12750546203,549309.3560383886,549309.3560383886,1141.9973587825648,1141.9973587825648,61899.04752000025,61899.04752000025,273238.56790863397,273238.56790863397,1677.3079145908334,1677.3079145908334,76943.63404771064,76943.63404771064,348940.91315457365,348940.91315457365,1032.8714736141483,1032.8714736141483,235392.15707463745,235392.15707463745,1061069.9220262773,1061069.9220262773,942.861406784417,942.861406784417
