Time,Global pop ssp126,Global pop ssp245,Global pop ssp370,Global pop ssp460,Global pop ssp585
2078.0,8441.496214596733,9645.852940874998,11846.662296166664,8897.501355601416,8456.979519833332
2079.0,8409.783801442165,9640.288800124998,11900.705140999995,8883.017528727803,8430.852068249998
2080.0,8378.071388287599,9634.724659374999,11954.74798583333,8868.533701854189,8404.724616666666
2081.0,8332.847245712128,9618.596361249998,12007.17611058333,8848.056019095546,8367.01748725
2082.0,8287.623103136657,9602.468063125,12059.60423533333,8827.578336336905,8329.310357833332
2083.0,8242.398960561188,9586.339764999999,12112.032360083329,8807.10065357826,8291.603228416667
2084.0,8197.174817985717,9570.211466875,12164.46048483333,8786.622970819617,8253.896099
2085.0,8151.950675410248,9554.08316875,12216.88860958333,8766.145288060976,8216.188969583332
2086.0,8106.726532834776,9537.954870624999,12269.31673433333,8745.667605302333,8178.481840166666
2087.0,8061.502390259306,9521.8265725,12321.744859083332,8725.189922543688,8140.774710749999
2088.0,8016.278247683836,9505.698274375,12374.17298383333,8704.712239785045,8103.067581333332
2089.0,7971.054105108366,9489.56997625,12426.60110858333,8684.234557026402,8065.360451916666
2090.0,7925.829962532895,9473.441678124998,12479.029233333331,8663.75687426776,8027.653322499999
2091.0,7870.105810819101,9450.359231625,12529.886094583331,8641.199248499554,7980.971573249999
2092.0,7814.381659105307,9427.276785125,12580.742955833332,8618.641622731353,7934.2898239999995
2093.0,7758.657507391514,9404.194338624999,12631.599817083332,8596.083996963149,7887.608074749999
2094.0,7702.933355677721,9381.111892125,12682.456678333332,8573.526371194943,7840.9263255
2095.0,7647.2092039639265,9358.029445624998,12733.313539583332,8550.968745426739,7794.244576249999
2096.0,7591.485052250133,9334.946999124999,12784.17040083333,8528.411119658536,7747.562827
2097.0,7535.760900536339,9311.864552624998,12835.027262083333,8505.853493890332,7700.881077749999
2098.0,7480.036748822545,9288.782106125,12885.884123333333,8483.295868122128,7654.1993285
2099.0,7424.312597108752,9265.699659624997,12936.740984583334,8460.738242353924,7607.5175792499995
2100.0,7368.5884453949575,9242.617213124999,12987.597845833334,8438.18061658572,7560.83583
2101.0,7313.97877671544,9219.996415554999,13037.437569858332,8416.074143332879,7515.0877157350005
2102.0,7260.483591070198,9197.837266915,13086.260156658333,8394.418822595404,7470.273236455
2103.0,7208.1028884592315,9176.139767204999,13134.065606233333,8373.214654373292,7426.392392160001
2104.0,7156.836668882542,9154.903916424999,13180.85391858333,8352.461638666544,7383.4451828500005
2105.0,7106.6849323401275,9134.129714575,13226.625093708331,8332.159775475162,7341.431608525
2106.0,7057.647678831989,9113.817161655,13271.37913160833,8312.309064799143,7300.351669185
2107.0,7009.7249083581255,9093.966257665,13315.11603228333,8292.909506638487,7260.205364830001
2108.0,6962.916620918539,9074.577002605001,13357.83579573333,8273.961100993196,7220.9926954600005
2109.0,6917.222816513228,9055.649396475003,13399.538421958328,8255.46384786327,7182.713661075
2110.0,6872.6434951421925,9037.183439275002,13440.223910958328,8237.417747248706,7145.368261675001
2111.0,6829.178656805434,9019.179131005003,13479.892262733329,8219.822799149508,7108.95649726
2112.0,6786.82830150295,9001.636471665004,13518.543477283327,8202.679003565672,7073.478367830001
2113.0,6745.592429234743,8984.555461255004,13556.177554608326,8185.9863604972015,7038.933873385001
2114.0,6705.471040000811,8967.936099775005,13592.794494708327,8169.744869944095,7005.323013925001
2115.0,6666.464133801155,8951.778387225004,13628.394297583325,8153.954531906353,6972.645789450002
2116.0,6628.571710635775,8936.082323605006,13662.976963233325,8138.615346383975,6940.902199960001
2117.0,6591.793770504671,8920.847908915006,13696.542491658325,8123.72731337696,6910.092245455002
2118.0,6556.130313407843,8906.075143155005,13729.090882858323,8109.29043288531,6880.215925935001
2119.0,6521.58133934529,8891.764026325005,13760.622136833323,8095.304704909024,6851.273241400001
2120.0,6488.146848317014,8877.914558425005,13791.136253583323,8081.770129448101,6823.264191850001
2121.0,6455.826840323013,8864.526739455006,13820.633233108323,8068.686706502543,6796.188777285001
2122.0,6424.621315363288,8851.600569415006,13849.11307540832,8056.054436072349,6770.046997705002
2123.0,6394.530273437839,8839.136048305007,13876.575780483321,8043.87331815752,6744.838853110002
2124.0,6365.553714546666,8827.133176125008,13903.021348333321,8032.143352758054,6720.564343500001
2125.0,6337.691638689769,8815.591952875007,13928.44977895832,8020.864539873952,6697.223468875002
2126.0,6310.944045867149,8804.512378555008,13952.86107235832,8010.0368795052145,6674.816229235002
2127.0,6285.310936078803,8793.894453165009,13976.255228533319,7999.66037165184,6653.342624580002
2128.0,6260.792309324735,8783.738176705008,13998.63224748332,7989.735016313831,6632.802654910002
2129.0,6237.388165604941,8774.043549175007,14019.99212920832,7980.260813491185,6613.196320225003
2130.0,6215.098504919423,8764.810570575008,14040.33487370832,7971.237763183904,6594.523620525002
2131.0,6193.923327268181,8756.039240905007,14059.66048098332,7962.665865391986,6576.7845558100025
2132.0,6173.862632651216,8747.72956016501,14077.968951033321,7954.545120115433,6559.979126080003
2133.0,6154.916421068526,8739.881528355008,14095.260283858319,7946.875527354244,6544.1073313350025
2134.0,6137.084692520112,8732.49514547501,14111.53447945832,7939.657087108419,6529.169171575003
2135.0,6120.367447005974,8725.57041152501,14126.79153783332,7932.889799377957,6515.164646800003
2136.0,6104.7646845261115,8719.10732650501,14141.03145898332,7926.57366416286,6502.093757010002
2137.0,6090.276405080525,8713.10589041501,14154.25424290832,7920.7086814631275,6489.956502205002
2138.0,6076.902608669215,8707.56610325501,14166.45988960832,7915.294851278758,6478.7528823850025
2139.0,6064.64329529218,8702.48796502501,14177.64839908332,7910.332173609753,6468.482897550002
2140.0,6053.498464949422,8697.871475725009,14187.819771333321,7905.820648456113,6459.146547700002
2141.0,6043.4681176409385,8693.716635355011,14196.974006358321,7901.760275817836,6450.743832835003
2142.0,6034.552253366731,8690.02344391501,14205.111104158319,7898.151055694924,6443.274752955002
2143.0,6026.7508721268,8686.79190140501,14212.23106473332,7894.992988087375,6436.739308060002
2144.0,6020.063973921145,8684.02200782501,14218.33388808332,7892.286072995191,6431.137498150003
2145.0,6014.491558749764,8681.71376317501,14223.41957420832,7890.03031041837,6426.469323225003
2146.0,6010.0336266126615,8679.86716745501,14227.48812310832,7888.225700356914,6422.734783285003
2147.0,6006.690177509833,8678.48222066501,14230.53953478332,7886.872242810822,6419.933878330003
2148.0,6004.461211441281,8677.55892280501,14232.57380923332,7885.969937780094,6418.066608360003
2149.0,6003.346728407006,8677.09727387501,14233.59094645832,7885.51878526473,6417.132973375003
2150.0,6003.346728407006,8677.09727387501,14233.59094645832,7885.51878526473,6417.132973375003
2151.0,6003.346728407006,8677.09727387501,14233.59094645832,7885.51878526473,6417.132973375003
2152.0,6003.346728407006,8677.09727387501,14233.59094645832,7885.51878526473,6417.132973375003
2153.0,6003.346728407006,8677.09727387501,14233.59094645832,7885.51878526473,6417.132973375003
2154.0,6003.346728407006,8677.09727387501,14233.59094645832,7885.51878526473,6417.132973375003
2155.0,6003.346728407006,8677.09727387501,14233.59094645832,7885.51878526473,6417.132973375003
2156.0,6003.346728407006,8677.09727387501,14233.59094645832,7885.51878526473,6417.132973375003
2157.0,6003.346728407006,8677.09727387501,14233.59094645832,7885.51878526473,6417.132973375003
2158.0,6003.346728407006,8677.09727387501,14233.59094645832,7885.51878526473,6417.132973375003
2159.0,6003.346728407006,8677.09727387501,14233.59094645832,7885.51878526473,6417.132973375003
2160.0,6003.346728407006,8677.09727387501,14233.59094645832,7885.51878526473,6417.132973375003
2161.0,6003.346728407006,8677.09727387501,14233.59094645832,7885.51878526473,6417.132973375003
2162.0,6003.346728407006,8677.09727387501,14233.59094645832,7885.51878526473,6417.132973375003
2163.0,6003.346728407006,8677.09727387501,14233.59094645832,7885.51878526473,6417.132973375003
2164.0,6003.346728407006,8677.09727387501,14233.59094645832,7885.51878526473,6417.132973375003
